16:06:38.655164 config: drop-rate=0.00, max-delay=0s, seed=1479243998655052432
17:15:37.164705 [queue=1] packet #2, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 5.8ms
17:15:37.170717 [queue=0] packet #2, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.182649 [queue=1] packet #2, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 3.1ms
17:15:37.186635 [queue=0] packet #2, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.195390 [queue=1] packet #3, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 5.4ms
17:15:37.201642 [queue=0] packet #3, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.227603 [queue=1] packet #4, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 2.3ms
17:15:37.230621 [queue=0] packet #4, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.242706 [queue=1] packet #5, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 800µs
17:15:37.243838 [queue=0] packet #5, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.249430 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 6.8ms
17:15:37.256465 [queue=0] packet #3, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.267483 [queue=1] packet #6, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 1ms
17:15:37.269352 [queue=0] packet #6, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.286175 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 4ms
17:15:37.286218 [queue=2] packet #7, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 6.2ms
17:15:37.292645 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.292742 [queue=0] packet #7, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.299212 [queue=1] packet #8, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delayed for 1.5ms
17:15:37.301037 [queue=0] packet #8, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=1013 is delivered
17:15:37.342359 [queue=1] packet #5, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 3.9ms
17:15:37.347407 [queue=0] packet #5, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.382763 [queue=1] packet #9, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=978 is delayed for 1.3ms
17:15:37.384639 [queue=0] packet #9, 127.0.0.1:56207 -> 127.0.0.1:5666, sz=978 is delivered
17:15:37.400574 [queue=1] packet #6, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 5.9ms
17:15:37.406775 [queue=0] packet #6, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.551299 [queue=1] packet #7, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 8.3ms
17:15:37.561435 [queue=0] packet #7, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.592307 [queue=1] packet #8, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 8.4ms
17:15:37.601090 [queue=0] packet #8, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:15:37.680279 [queue=1] packet #9, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delayed for 1ms
17:15:37.681664 [queue=0] packet #9, 127.0.0.1:5666 -> 127.0.0.1:56207, sz=0 is delivered
17:21:08.686915 [queue=1] packet #0, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=0 is delayed for 6.2ms
17:21:08.694674 [queue=0] packet #0, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=0 is delivered
17:21:08.695826 [queue=1] packet #1, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 2ms
17:21:08.698292 [queue=0] packet #1, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:08.762177 [queue=1] packet #2, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 5.6ms
17:21:08.768480 [queue=0] packet #2, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.779282 [queue=1] packet #3, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 6.6ms
17:21:08.787451 [queue=0] packet #3, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.798210 [queue=1] packet #4, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 5.6ms
17:21:08.804385 [queue=0] packet #4, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.810696 [queue=1] packet #5, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 9.2ms
17:21:08.817047 [queue=2] packet #2, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 7.7ms
17:21:08.820157 [queue=1] packet #5, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.825843 [queue=0] packet #2, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:08.829345 [queue=1] packet #6, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 2ms
17:21:08.832095 [queue=0] packet #6, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.835854 [queue=1] packet #3, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 6.2ms
17:21:08.844475 [queue=0] packet #3, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:08.949326 [queue=1] packet #4, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 9.2ms
17:21:08.949394 [queue=2] packet #7, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 1.1ms
17:21:08.952269 [queue=1] packet #7, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:08.958763 [queue=0] packet #4, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:09.047353 [queue=1] packet #8, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delayed for 8.8ms
17:21:09.052529 [queue=2] packet #5, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 5.6ms
17:21:09.057273 [queue=1] packet #8, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=1013 is delivered
17:21:09.058964 [queue=0] packet #5, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
17:21:09.071481 [queue=1] packet #9, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=978 is delayed for 700µs
17:21:09.072476 [queue=0] packet #9, 127.0.0.1:64838 -> 127.0.0.1:5666, sz=978 is delivered
17:21:09.090003 [queue=1] packet #6, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delayed for 5.2ms
17:21:09.096293 [queue=0] packet #6, 127.0.0.1:5666 -> 127.0.0.1:64838, sz=0 is delivered
